Unnamed: 0,始値,終値,高値,安値
2016-12-30,390,389,393,387
2016-12-29,384,391,391,381
2016-12-28,387,386,393,386
2016-12-27,375,385,394,375
2016-12-26,374,375,407,371
2016-12-22,382,376,382,375
2016-12-21,388,383,392,381
2016-12-20,391,386,393,382
2016-12-19,393,391,397,387
2016-12-16,383,389,398,380
2016-12-15,392,380,393,378
2016-12-14,382,386,395,380
2016-12-13,378,379,381,377
2016-12-12,380,378,386,377
2016-12-09,374,380,385,373
2016-12-08,375,375,377,371
2016-12-07,369,371,372,368
2016-12-06,373,369,374,369
2016-12-05,376,371,376,371
2016-12-02,376,373,378,370
2016-12-01,383,375,384,373
2016-11-30,374,382,385,374
2016-11-29,371,375,378,370
2016-11-28,370,369,373,368
2016-11-25,375,370,380,369
2016-11-24,376,372,377,372
2016-11-22,378,374,379,372
2016-11-21,378,379,383,375
2016-11-18,383,378,384,376
2016-11-17,385,382,385,376
2016-11-16,386,384,390,381
2016-11-15,379,386,393,367
2016-11-14,370,371,377,369
2016-11-11,375,369,375,367
2016-11-10,368,370,376,366
2016-11-09,380,356,386,349
2016-11-08,365,382,417,363
2016-11-07,374,363,374,362
2016-11-04,367,358,367,357
2016-11-02,383,370,383,370
2016-11-01,387,386,391,385
2016-10-31,393,387,394,385
2016-10-28,388,388,395,388
2016-10-27,388,388,392,383
2016-10-26,387,390,396,383
2016-10-25,399,390,404,382
2016-10-24,408,405,412,401
2016-10-21,403,404,414,401
2016-10-20,391,402,413,389
2016-10-19,380,392,397,379
2016-10-18,379,383,383,377
2016-10-17,374,377,387,372
2016-10-14,377,371,378,371
2016-10-13,377,377,385,377
2016-10-12,370,376,403,367
2016-10-11,391,374,393,371
2016-10-07,400,389,406,387
2016-10-06,378,397,429,377
2016-10-05,375,375,382,375
2016-10-04,365,375,382,365
2016-10-03,361,362,364,358
2016-09-30,360,358,361,358
2016-09-29,358,359,361,357
2016-09-28,358,357,362,355
2016-09-27,357,358,364,353
2016-09-26,358,356,360,356
2016-09-23,353,358,360,353
2016-09-21,354,353,356,352
2016-09-20,354,354,360,351
2016-09-16,354,358,361,354
2016-09-15,364,356,367,355
2016-09-14,372,362,372,362
2016-09-13,362,368,371,360
2016-09-12,358,359,375,358
2016-09-09,358,365,382,357
2016-09-08,359,355,359,355
2016-09-07,355,358,358,354
2016-09-06,356,358,358,354
2016-09-05,352,353,358,352
2016-09-02,354,351,357,351
2016-09-01,355,355,356,352
2016-08-31,364,357,364,354
2016-08-30,351,358,364,351
2016-08-29,356,351,356,350
2016-08-26,351,349,353,349
2016-08-25,363,352,363,352
2016-08-24,354,362,362,353
2016-08-23,355,354,365,352
2016-08-22,354,360,361,352
2016-08-19,356,356,362,354
2016-08-18,355,353,363,353
2016-08-17,357,355,363,355
2016-08-16,365,356,365,356
2016-08-15,376,365,376,363
2016-08-12,363,376,383,363
2016-08-10,378,362,378,360
2016-08-09,389,370,400,368
2016-08-08,354,405,417,351
2016-08-05,351,348,354,348
2016-08-04,351,348,356,345
2016-08-03,354,350,361,350
2016-08-02,355,356,364,350
2016-08-01,356,352,356,350
2016-07-29,365,356,365,350
2016-07-28,363,365,369,363
2016-07-27,365,365,370,364
2016-07-26,370,364,372,363
2016-07-25,372,372,380,370
2016-07-22,380,378,386,373
2016-07-21,372,382,394,370
2016-07-20,387,376,388,376
2016-07-19,406,393,406,389
2016-07-15,425,406,428,405
2016-07-14,477,441,477,434
2016-07-13,446,503,508,442
2016-07-12,360,430,430,360
2016-07-11,350,350,359,348
2016-07-08,347,341,350,337
2016-07-07,348,346,356,344
2016-07-06,348,348,355,342
2016-07-05,374,362,381,360
2016-07-04,373,376,383,373
2016-07-01,374,374,385,372
2016-06-30,370,374,390,364
2016-06-29,361,366,369,360
2016-06-28,350,353,360,335
2016-06-27,350,354,354,337
2016-06-24,393,327,399,306
2016-06-23,389,386,394,379
2016-06-22,409,397,412,397
2016-06-21,405,408,414,396
2016-06-20,395,401,409,395
