Unnamed: 0,始値,高値,安値,終値
2017-08-25,540,553,536,545
2017-08-24,521,547,521,544
2017-08-23,520,529,520,527
2017-08-22,515,526,515,520
2017-08-21,525,527,511,514
2017-08-18,512,525,512,524
2017-08-17,529,530,522,525
2017-08-16,513,534,513,529
2017-08-15,519,522,506,513
2017-08-14,497,535,491,535
2017-08-10,517,522,511,516
2017-08-09,531,531,512,522
2017-08-08,530,539,522,530
2017-08-07,536,540,526,527
2017-08-04,532,546,532,538
2017-08-03,545,552,526,534
2017-08-02,524,565,523,551
2017-08-01,544,545,516,516
2017-07-31,549,557,525,541
2017-07-28,581,583,567,569
2017-07-27,586,588,582,584
2017-07-26,588,593,582,587
2017-07-25,586,593,586,587
2017-07-24,590,592,585,591
2017-07-21,587,593,587,590
2017-07-20,588,594,586,590
2017-07-19,596,599,586,596
2017-07-18,597,599,591,597
2017-07-14,596,599,593,597
2017-07-13,605,607,593,599
2017-07-12,599,607,596,604
2017-07-11,599,605,597,597
2017-07-10,603,608,598,603
2017-07-07,597,606,597,604
2017-07-06,609,609,596,604
2017-07-05,602,608,593,607
2017-07-04,616,618,604,611
2017-07-03,622,625,613,615
2017-06-30,611,623,606,623
2017-06-29,613,629,613,621
2017-06-28,626,627,610,615
2017-06-27,621,630,616,630
2017-06-26,606,624,606,622
2017-06-23,626,626,603,608
2017-06-22,621,635,621,621
2017-06-21,635,640,620,629
2017-06-20,655,665,630,641
2017-06-19,628,668,626,665
2017-06-16,637,637,616,626
2017-06-15,661,663,615,622
2017-06-14,604,649,601,641
2017-06-13,575,602,572,597
2017-06-12,575,578,564,570
2017-06-09,575,578,567,572
2017-06-08,577,585,568,568
2017-06-07,574,588,570,570
2017-06-06,595,595,574,574
2017-06-05,598,610,588,593
2017-06-02,615,618,596,598
2017-06-01,609,618,607,611
2017-05-31,598,613,595,606
2017-05-30,610,620,595,600
2017-05-29,614,624,608,610
2017-05-26,640,640,606,618
2017-05-25,671,672,588,637
2017-05-24,682,685,662,669
2017-05-23,656,692,651,674
2017-05-22,650,653,632,650
2017-05-19,657,668,635,637
2017-05-18,642,673,624,648
2017-05-17,592,688,589,651
2017-05-16,613,618,592,592
2017-05-15,549,574,535,565
2017-05-12,545,550,538,550
2017-05-11,551,568,549,550
2017-05-10,555,559,538,545
2017-05-09,562,566,552,557
2017-05-08,546,557,534,555
2017-05-02,523,532,523,529
2017-05-01,526,534,521,523
2017-04-28,529,534,520,521
2017-04-27,522,540,518,538
2017-04-26,526,530,516,519
2017-04-25,510,525,502,510
2017-04-24,555,555,509,509
2017-04-21,545,557,525,529
2017-04-20,509,575,509,557
2017-04-19,489,510,487,506
2017-04-18,515,519,490,491
2017-04-17,484,510,481,500
2017-04-14,494,514,485,488
2017-04-13,487,520,484,514
2017-04-12,490,494,468,475
2017-04-11,533,535,509,520
2017-04-10,549,554,534,536
2017-04-07,520,581,520,568
2017-04-06,538,543,513,517
2017-04-05,544,558,531,548
2017-04-04,569,572,533,542
2017-04-03,612,615,561,570
2017-03-31,640,644,615,619
2017-03-30,661,663,610,616
2017-03-29,646,680,646,660
2017-03-28,609,661,606,647
