,始値,安値,終値,高値
2017-06-12,586,561,561,588
2017-06-13,561,548,559,566
2017-06-14,559,540,545,559
2017-06-15,545,542,548,557
2017-06-16,554,549,557,561
2017-06-19,555,545,549,561
2017-06-20,555,546,549,556
2017-06-21,550,549,555,562
2017-06-22,530,526,541,545
2017-06-23,541,512,513,543
2017-06-26,511,511,542,549
2017-06-27,543,536,541,548
2017-06-28,543,529,533,547
2017-06-29,540,528,537,542
2017-06-30,533,525,527,534
2017-07-03,532,517,530,532
2017-07-04,535,525,537,541
2017-07-05,538,527,532,540
2017-07-06,532,531,541,542
2017-07-07,537,532,544,545
2017-07-10,550,545,560,560
2017-07-11,560,557,576,578
2017-07-12,575,563,582,587
2017-07-13,594,559,562,595
2017-07-14,560,554,560,568
2017-07-18,560,555,563,565
2017-07-19,560,550,560,566
2017-07-20,560,545,546,560
2017-07-21,542,525,529,543
2017-07-24,529,518,520,531
2017-07-25,520,516,517,526
2017-07-26,522,518,519,523
2017-07-27,524,510,511,524
2017-07-28,509,495,495,527
2017-07-31,460,450,453,472
2017-08-01,469,436,442,469
2017-08-02,458,447,460,461
2017-08-03,458,452,485,494
2017-08-04,477,468,469,481
2017-08-07,470,463,471,475
2017-08-08,471,465,470,471
2017-08-09,470,460,471,471
2017-08-10,470,469,473,495
2017-08-14,470,465,496,505
2017-08-15,492,480,491,496
2017-08-16,495,488,499,507
2017-08-17,495,495,502,509
2017-08-18,498,498,565,571
2017-08-21,615,601,665,665
2017-08-22,685,609,633,709
2017-08-23,660,656,733,733
2017-08-24,759,723,835,869
