,始値,安値,終値,高値
2016-11-30,1185,1176,1200,1200
2016-12-01,1200,1187,1194,1230
2016-12-02,1200,1167,1178,1203
2016-12-05,1142,1129,1132,1156
2016-12-06,1133,1130,1140,1153
2016-12-07,1138,1136,1150,1169
2016-12-08,1180,1141,1145,1188
2016-12-09,1140,1140,1155,1198
2016-12-12,1156,1135,1145,1161
2016-12-13,1144,1144,1192,1201
2016-12-14,1192,1192,1239,1248
2016-12-15,1249,1216,1237,1249
2016-12-16,1237,1191,1206,1247
2016-12-19,1205,1151,1170,1205
2016-12-20,1156,1156,1203,1213
2016-12-21,1217,1210,1229,1260
2016-12-22,1235,1235,1356,1453
2016-12-26,1350,1350,1442,1630
2016-12-27,1457,1400,1407,1540
2016-12-28,1420,1331,1370,1469
2016-12-29,1350,1329,1330,1406
2016-12-30,1335,1300,1323,1340
