,始値,安値,終値,高値
2016-01-04,1133,1131,1264,1264
2016-01-05,1300,1300,1564,1564
2016-01-06,1816,1685,1866,1933
2016-01-07,1706,1555,1705,1766
2016-01-08,1551,1505,1604,1690
2016-01-12,1546,1280,1334,1555
2016-01-13,1417,1386,1634,1634
2016-01-14,1611,1460,1834,1956
2016-01-15,2065,1680,1700,2185
2016-01-18,1503,1416,1540,1647
2016-01-19,1508,1508,1681,1838
2016-01-20,1761,1552,1565,1880
2016-01-21,1700,1529,1539,1829
2016-01-22,1670,1540,1586,1700
2016-01-25,1675,1625,1749,1749
2016-01-26,1723,1670,1703,1740
2016-01-27,1780,1710,1753,1860
2016-01-28,1725,1670,1715,1788
2016-01-29,1675,1584,1645,1680
2016-02-01,1662,1610,1624,1685
2016-02-02,1632,1605,1620,1641
2016-02-03,1555,1555,1706,1841
2016-02-04,1725,1680,1724,1799
2016-02-05,1699,1560,1651,1735
2016-02-08,1590,1590,1673,1740
2016-02-09,1600,1533,1546,1635
2016-02-10,1550,1361,1420,1556
2016-02-12,1250,1170,1170,1360
2016-02-15,1360,1261,1292,1364
2016-02-16,1325,1300,1300,1352
2016-02-17,1334,1285,1299,1380
2016-02-18,1345,1310,1356,1412
2016-02-19,1339,1316,1377,1388
2016-02-22,1372,1338,1376,1405
2016-02-23,1400,1338,1409,1410
2016-02-24,1367,1350,1383,1421
2016-02-25,1400,1400,1548,1617
2016-02-26,1488,1465,1471,1525
2016-02-29,1491,1465,1465,1513
2016-03-01,1445,1413,1605,1759
2016-03-02,1650,1568,1700,1721
2016-03-03,1685,1666,1666,1726
2016-03-04,1663,1622,1632,1663
2016-03-07,1635,1633,1637,1700
2016-03-08,1694,1650,1747,1747
2016-03-09,1735,1684,1815,1910
2016-03-10,1855,1822,1826,1937
2016-03-11,1786,1775,1890,1918
2016-03-14,2150,2086,2115,2290
2016-03-15,2038,1954,2504,2597
2016-03-16,2520,2514,2619,2799
2016-03-17,2480,2308,2320,2544
2016-03-18,2220,2157,2222,2284
2016-03-22,2350,2350,2493,2644
2016-03-23,2640,2607,2993,2993
2016-03-24,3185,2949,2970,3285
2016-03-25,3090,2666,2701,3180
2016-03-28,2747,2450,2480,2760
2016-03-29,2480,2405,2485,2608
2016-03-30,2570,2400,2441,2619
2016-03-31,2504,2420,2482,2507
2016-04-01,2455,2220,2240,2481
2016-04-04,2246,2169,2260,2263
2016-04-05,2245,1933,1980,2252
2016-04-06,2000,1917,2040,2085
2016-04-07,2045,2045,2215,2251
2016-04-08,2100,2061,2260,2338
2016-04-11,2360,2320,2670,2689
2016-04-12,2600,2402,2460,2700
2016-04-13,2509,2360,2430,2540
2016-04-14,2412,2271,2298,2464
2016-04-15,2264,2240,2295,2424
2016-04-18,2240,2152,2211,2277
2016-04-19,2321,2270,2547,2606
2016-04-20,2697,2400,2500,2699
2016-04-21,2600,2500,2662,2680
2016-04-22,2656,2460,2533,2675
2016-04-25,2533,2531,3035,3035
2016-04-26,3055,2422,2632,3080
2016-04-27,2732,2461,2510,2738
2016-04-28,2550,2369,2422,2626
2016-05-02,2300,2292,2489,2531
2016-05-06,2501,2501,2820,2881
2016-05-09,2820,2667,2790,2840
2016-05-10,2830,2620,2650,2834
2016-05-11,2634,2551,2636,2726
2016-05-12,2600,2502,2510,2641
2016-05-13,2500,2411,2562,2564
2016-05-16,2062,2062,2062,2062
2016-05-17,1562,1562,1562,1562
2016-05-18,1680,1418,1562,1746
2016-05-19,1603,1524,1599,1647
2016-05-20,1630,1560,1586,1630
2016-05-23,1610,1512,1569,1614
2016-05-24,1529,1471,1477,1544
2016-05-25,1507,1480,1522,1530
2016-05-26,1545,1500,1502,1558
2016-05-27,1507,1501,1510,1531
2016-05-30,1511,1511,1550,1584
2016-05-31,1522,1522,1531,1549
2016-06-01,1527,1510,1521,1547
2016-06-02,1510,1456,1479,1528
2016-06-03,1461,1459,1516,1525
2016-06-06,1477,1455,1498,1500
2016-06-07,1471,1455,1490,1498
2016-06-08,1490,1458,1465,1495
2016-06-09,1457,1457,1486,1530
2016-06-10,1486,1482,1529,1545
2016-06-13,1529,1411,1432,1529
2016-06-14,1508,1312,1340,1510
2016-06-15,1301,1280,1372,1398
2016-06-16,1399,1145,1195,1401
2016-06-17,1200,1200,1225,1250
2016-06-20,1225,1222,1292,1343
2016-06-21,1250,1250,1311,1348
2016-06-22,1290,1232,1245,1306
2016-06-23,1245,1210,1274,1279
2016-06-24,1282,1000,1100,1327
2016-06-27,1135,1102,1153,1183
2016-06-28,1101,1083,1158,1167
2016-06-29,1200,1156,1200,1240
2016-06-30,1330,1320,1500,1500
2016-07-01,1620,1423,1457,1664
2016-07-04,1480,1384,1424,1480
2016-07-05,1454,1381,1383,1469
2016-07-06,1354,1296,1333,1370
2016-07-07,1320,1280,1280,1335
2016-07-08,1265,1239,1250,1274
2016-07-11,1282,1233,1286,1299
2016-07-12,1300,1299,1340,1345
2016-07-13,1354,1346,1366,1380
2016-07-14,1336,1330,1330,1367
2016-07-15,1340,1213,1238,1341
2016-07-19,1240,1216,1259,1315
2016-07-20,1221,1220,1223,1253
2016-07-21,1224,1224,1290,1300
2016-07-22,1290,1219,1266,1290
2016-07-25,1280,1236,1255,1280
2016-07-26,1255,1203,1219,1255
2016-07-27,1214,1214,1236,1237
2016-07-28,1222,1201,1214,1223
2016-07-29,1202,1169,1208,1209
2016-08-01,1202,1185,1200,1214
2016-08-02,1141,1132,1206,1206
2016-08-03,1224,1169,1188,1242
2016-08-04,1181,1181,1200,1218
2016-08-05,1195,1169,1194,1206
2016-08-08,1173,1105,1123,1180
2016-08-09,1101,1100,1109,1131
2016-08-10,1120,1120,1137,1159
2016-08-12,1047,1014,1088,1098
2016-08-15,1040,1030,1047,1100
2016-08-16,1068,1040,1059,1080
2016-08-17,1043,1043,1048,1087
2016-08-18,1030,1012,1014,1036
2016-08-19,1003,1003,1009,1016
2016-08-22,1005,1005,1036,1051
2016-08-23,1036,1025,1029,1045
2016-08-24,1013,1013,1329,1329
2016-08-25,1269,1197,1258,1298
2016-08-26,1235,1157,1161,1235
2016-08-29,1170,1100,1117,1170
2016-08-30,1099,1080,1106,1131
2016-08-31,1111,1082,1093,1124
2016-09-01,1090,1090,1090,1105
2016-09-02,1090,1085,1085,1129
2016-09-05,1080,1080,1116,1126
2016-09-06,1115,1081,1120,1123
2016-09-07,1105,1105,1120,1130
2016-09-08,1135,1130,1153,1166
2016-09-09,1152,1151,1193,1195
2016-09-12,1215,1140,1141,1215
2016-09-13,1138,1122,1138,1150
2016-09-14,1126,1100,1100,1130
2016-09-15,1100,1056,1078,1100
2016-09-16,1053,1020,1051,1076
2016-09-20,1038,1038,1060,1075
2016-09-21,1060,1053,1082,1085
2016-09-23,1052,1052,1099,1117
2016-09-26,1199,1166,1349,1399
2016-09-27,1400,1355,1361,1587
2016-09-28,1301,1263,1310,1340
2016-09-29,1347,1331,1359,1441
2016-09-30,1361,1361,1659,1659
2016-10-03,1600,1540,1699,1740
2016-10-04,1680,1570,1600,1705
2016-10-05,1590,1466,1480,1590
2016-10-06,1471,1461,1510,1610
2016-10-07,1480,1440,1457,1510
2016-10-11,1427,1391,1400,1441
2016-10-12,1420,1388,1399,1437
2016-10-13,1440,1411,1418,1565
2016-10-14,1404,1365,1369,1420
2016-10-17,1389,1360,1366,1392
2016-10-18,1390,1363,1455,1458
2016-10-19,1470,1458,1468,1514
2016-10-20,1479,1472,1635,1680
2016-10-21,1601,1482,1510,1634
2016-10-24,1492,1463,1463,1520
2016-10-25,1253,1231,1297,1313
2016-10-26,1267,1189,1203,1268
2016-10-27,1193,1187,1211,1226
2016-10-28,1225,1196,1202,1228
2016-10-31,1205,1156,1162,1205
2016-11-01,1150,1135,1150,1151
2016-11-02,1147,1130,1144,1150
2016-11-04,1119,1103,1120,1129
2016-11-07,1145,1116,1127,1145
2016-11-08,1140,1120,1125,1143
2016-11-09,1120,1040,1060,1134
2016-11-10,1140,1095,1150,1150
2016-11-11,1145,1131,1150,1152
2016-11-14,1113,1113,1150,1198
2016-11-15,1167,1140,1157,1169
2016-11-16,1180,1156,1175,1188
2016-11-17,1181,1181,1208,1214
2016-11-18,1220,1193,1211,1230
2016-11-21,1225,1213,1215,1225
2016-11-22,1095,1094,1201,1210
2016-11-24,1216,1181,1196,1216
2016-11-25,1196,1161,1165,1199
2016-11-28,1166,1161,1179,1180
2016-11-29,1171,1165,1172,1188
2016-11-30,1185,1176,1200,1200
2016-12-01,1200,1187,1194,1230
2016-12-02,1200,1167,1178,1203
2016-12-05,1142,1129,1132,1156
2016-12-06,1133,1130,1140,1153
2016-12-07,1138,1136,1150,1169
2016-12-08,1180,1141,1145,1188
2016-12-09,1140,1140,1155,1198
2016-12-12,1156,1135,1145,1161
2016-12-13,1144,1144,1192,1201
