date,Open,High,Low,Close,Volume,AdjClose
2017-08-10,1286.00,1286.00,1260.00,1261.00,5100,6473700
2017-08-09,1308.00,1308.00,1264.00,1286.00,7800,9941700
2017-08-08,1297.00,1297.00,1289.00,1289.00,500,647300
2017-08-07,1280.00,1290.00,1278.00,1278.00,7300,9356600
2017-08-04,1277.00,1327.00,1260.00,1280.00,11200,14442800
2017-08-03,1308.00,1308.00,1274.00,1275.00,5800,7466500
2017-08-02,1275.00,1314.00,1275.00,1289.00,7400,9593700
2017-08-01,1320.00,1320.00,1271.00,1271.00,25400,32908000
2017-07-31,1372.00,1372.00,1329.00,1329.00,18400,24749800
2017-07-28,1417.00,1421.00,1360.00,1388.00,15800,21916800
2017-07-27,1411.00,1450.00,1410.00,1421.00,7000,9997800
2017-07-26,1409.00,1418.00,1408.00,1411.00,5000,7063100
2017-07-25,1419.00,1434.00,1407.00,1407.00,4500,6379000
2017-07-24,1418.00,1423.00,1399.00,1402.00,5500,7759600
2017-07-21,1380.00,1421.00,1380.00,1418.00,13200,18521900
2017-07-20,1450.00,1456.00,1380.00,1394.00,53900,76261400
2017-07-19,1474.00,1520.00,1453.00,1457.00,50000,74480300
2017-07-18,1452.00,1475.00,1427.00,1458.00,25900,37603900
2017-07-14,1423.00,1480.00,1411.00,1422.00,26600,38200500
2017-07-13,1380.00,1511.00,1380.00,1437.00,226900,328456000
2017-07-12,1338.00,1380.00,1338.00,1371.00,21000,28681000
2017-07-11,1350.00,1361.00,1338.00,1338.00,7600,10231500
2017-07-10,1353.00,1370.00,1348.00,1358.00,10800,14665300
2017-07-07,1334.00,1354.00,1330.00,1350.00,8000,10756100
2017-07-06,1337.00,1345.00,1330.00,1340.00,11100,14818600
2017-07-05,1330.00,1360.00,1328.00,1343.00,11200,15048500
2017-07-04,1325.00,1474.00,1309.00,1325.00,173800,240606100
2017-07-03,1339.00,1339.00,1318.00,1325.00,5200,6912900
2017-06-30,1323.00,1326.00,1294.00,1309.00,15300,20061800
2017-06-29,1315.00,1340.00,1315.00,1323.00,10200,13548600
2017-06-28,1354.00,1354.00,1312.00,1312.00,23000,30565500
2017-06-27,1373.00,1374.00,1343.00,1360.00,17900,24270400
2017-06-26,1300.00,1375.00,1300.00,1365.00,24200,32452400
2017-06-23,1327.00,1358.00,1266.00,1289.00,34700,45392000
2017-06-22,1285.00,1343.00,1283.00,1322.00,35200,46556300
2017-06-21,1270.00,1395.00,1262.00,1282.00,77300,102601700
2017-06-20,1270.00,1285.00,1270.00,1270.00,8600,10974700
2017-06-19,1281.00,1281.00,1269.00,1276.00,8700,11095300
2017-06-16,1268.00,1268.00,1250.00,1251.00,9100,11421000
2017-06-15,1294.00,1294.00,1255.00,1268.00,9700,12309800
2017-06-14,1290.00,1300.00,1270.00,1294.00,15600,19972000
